Datum,Niet geïndexeerd,Geïndexeerd,Vertoningen
2025-08-23,14,23,97
2025-08-24,18,69,160
2025-08-25,18,69,123
2025-08-26,18,69,121
2025-08-27,18,86,130
2025-08-28,18,86,143
2025-08-29,18,86,169
2025-08-30,18,86,166
2025-08-31,18,86,236
2025-09-01,18,86,173
2025-09-02,18,86,194
2025-09-03,20,86,181
2025-09-04,20,86,169
2025-09-05,20,86,140
2025-09-06,20,86,145
2025-09-07,20,86,165
2025-09-08,20,86,147
2025-09-09,20,86,187
2025-09-10,20,86,93
2025-09-11,20,86,81
2025-09-12,20,86,81
2025-09-13,20,86,56
2025-09-14,20,86,80
2025-09-15,20,86,46
2025-09-16,20,86,56
2025-09-17,20,86,41
2025-09-18,20,86,47
2025-09-19,20,86,33
2025-09-20,20,86,47
2025-09-21,20,86,71
2025-09-22,20,86,44
2025-09-23,20,86,70
2025-09-24,21,87,56
2025-09-25,21,87,70
2025-09-26,21,87,55
2025-09-27,21,87,98
2025-09-28,22,88,120
2025-09-29,22,88,77
2025-09-30,22,88,71
2025-10-01,22,88,70
2025-10-02,22,88,79
2025-10-03,22,88,60
2025-10-04,22,88,65
2025-10-05,22,88,81
2025-10-06,22,88,62
2025-10-07,22,88,71
2025-10-08,22,88,58
2025-10-09,22,88,68
2025-10-10,22,88,59
2025-10-11,22,88,53
2025-10-12,22,88,84
2025-10-13,22,88,62
2025-10-14,22,88,61
2025-10-15,23,88,59
2025-10-16,23,88,68
2025-10-17,23,88,61
2025-10-18,23,88,58
2025-10-19,23,88,89
2025-10-20,23,88,66
2025-10-21,23,88,94
2025-10-22,24,88,73
2025-10-23,24,88,78
2025-10-24,24,88,66
2025-10-25,24,88,65
2025-10-26,25,87,110
2025-10-27,25,87,85
2025-10-28,25,87,82
2025-10-29,26,87,84
2025-10-30,26,87,85
2025-10-31,26,87,71
2025-11-01,26,87,92
2025-11-02,36,103,113
2025-11-03,36,103,71
2025-11-04,36,103,99
2025-11-05,29,111,98
2025-11-06,29,111,100
2025-11-07,29,111,86
2025-11-08,29,111,82
2025-11-09,33,108,127
2025-11-10,33,108,124
2025-11-11,33,108,120
2025-11-12,50,120,77
2025-11-13,50,120,94
2025-11-14,50,120,75
2025-11-15,50,120,80
2025-11-16,132,110,128
2025-11-17,132,110,101
2025-11-18,132,110,90